ts,run_id,mode,event_type,role,doc_id,fingerprint,ttft_s,total_s,n_output_tokens,cache_hit,prompt_chars,message,extra_json
1778974773.690876,phase2_demo,before,decision,orchestrator,,,,,,,,loaded pipeline 'discovery_review': Screener -> Analyst -> Auditor,"{""pipeline"": ""discovery_review"", ""nodes"": [{""role"": ""Screener"", ""doc_id"": ""discovery""}, {""role"": ""Analyst"", ""doc_id"": ""discovery""}, {""role"": ""Auditor"", ""doc_id"": ""discovery""}]}"
1778974773.6911108,phase2_demo,before,decision,orchestrator,discovery,d756492f207440704d04fa47c47a12f38cecd041b27e0d76b3c7c1a6e41b8f9a,,,,,,observed Screener starting on discovery (fp=d756492f20),"{""phase"": ""observe"", ""cursor"": 0}"
1778974813.787829,phase2_demo,before,task_completed,Screener,discovery,d756492f207440704d04fa47c47a12f38cecd041b27e0d76b3c7c1a6e41b8f9a,33.07125041700783,40.09607404199778,97,False,65274,,
1778974813.788102,phase2_demo,before,decision,orchestrator,discovery,,,,,,,next agent 'Analyst' needs same doc 'discovery'; firing keep-resident warmup,"{""phase"": ""act"", ""current"": {""role"": ""Screener"", ""doc_id"": ""discovery""}, ""next"": {""role"": ""Analyst"", ""doc_id"": ""discovery""}}"
1778974848.399876,phase2_demo,before,keep_resident_completed,orchestrator,discovery,5f2285fd4b5f5e3ef9185d75dd7d4ae34d5a0cd597901af952ae3947987f8421,34.60890945800929,34.610265625000466,2,False,65153,warmup issued by orchestrator,
1778974848.403647,phase2_demo,before,decision,orchestrator,discovery,b88bcf3789d13b5e848daaee9ccdb4cb09a12761cac125a6df97bb043fb90728,,,,,,observed Analyst starting on discovery (fp=b88bcf3789),"{""phase"": ""observe"", ""cursor"": 1}"
1778974890.791312,phase2_demo,before,task_completed,Analyst,discovery,b88bcf3789d13b5e848daaee9ccdb4cb09a12761cac125a6df97bb043fb90728,35.48537258300348,42.387037000007695,97,False,65315,,
1778974890.7915561,phase2_demo,before,decision,orchestrator,discovery,,,,,,,next agent 'Auditor' needs same doc 'discovery'; firing keep-resident warmup,"{""phase"": ""act"", ""current"": {""role"": ""Analyst"", ""doc_id"": ""discovery""}, ""next"": {""role"": ""Auditor"", ""doc_id"": ""discovery""}}"
1778974926.262846,phase2_demo,before,keep_resident_completed,orchestrator,discovery,1a8f112c52771bf6c5c17a8df879321188a497fd88262edd865e7012a7edd738,35.47911045799265,35.47940691601252,2,False,65153,warmup issued by orchestrator,
1778974926.263235,phase2_demo,before,decision,orchestrator,discovery,d756492f207440704d04fa47c47a12f38cecd041b27e0d76b3c7c1a6e41b8f9a,,,,,,evicted hot entry discovery:d756492f207440704d04fa47c47a12f38cecd041b27e0d76b3c7c1a6e41b8f9a under LRU cap (4),"{""phase"": ""adapt"", ""evicted"": true}"
1778974926.263246,phase2_demo,before,decision,orchestrator,discovery,8b874c21e90e47ec709d09a356be045c95c07f01bb560d39afd0def422332b70,,,,,,observed Auditor starting on discovery (fp=8b874c21e9),"{""phase"": ""observe"", ""cursor"": 2}"
1778974968.77264,phase2_demo,before,task_completed,Auditor,discovery,8b874c21e90e47ec709d09a356be045c95c07f01bb560d39afd0def422332b70,35.526259166013915,42.51047254100558,97,False,65370,,
1778974968.772743,phase2_demo,before,decision,orchestrator,discovery,,,,,,,no successor after Auditor; pipeline complete,"{""phase"": ""lookahead"", ""cursor"": 2}"
1778974968.772966,phase2_demo,after,decision,orchestrator,,,,,,,,loaded pipeline 'discovery_review': Screener -> Analyst -> Auditor,"{""pipeline"": ""discovery_review"", ""nodes"": [{""role"": ""Screener"", ""doc_id"": ""discovery""}, {""role"": ""Analyst"", ""doc_id"": ""discovery""}, {""role"": ""Auditor"", ""doc_id"": ""discovery""}]}"
1778974968.773298,phase2_demo,after,decision,orchestrator,discovery,b9cd08817a96e003ce8d607b0fae61c83069d505d6da8199c4cef4972644db3c,,,,,,observed Screener starting on discovery (fp=b9cd08817a),"{""phase"": ""observe"", ""cursor"": 0}"
1778975010.9618309,phase2_demo,after,task_completed,Screener,discovery,b9cd08817a96e003ce8d607b0fae61c83069d505d6da8199c4cef4972644db3c,35.332454459014116,42.1882818750164,97,False,65229,,
1778975010.961911,phase2_demo,after,decision,orchestrator,discovery,,,,,,,next agent 'Analyst' needs same doc 'discovery'; firing keep-resident warmup,"{""phase"": ""act"", ""current"": {""role"": ""Screener"", ""doc_id"": ""discovery""}, ""next"": {""role"": ""Analyst"", ""doc_id"": ""discovery""}}"
1778975011.440844,phase2_demo,after,keep_resident_completed,orchestrator,discovery,b9cd08817a96e003ce8d607b0fae61c83069d505d6da8199c4cef4972644db3c,0.4784210000070743,0.47863041699747555,2,True,65108,warmup issued by orchestrator,
1778975011.44102,phase2_demo,after,decision,orchestrator,discovery,b9cd08817a96e003ce8d607b0fae61c83069d505d6da8199c4cef4972644db3c,,,,,,observed Analyst starting on discovery (fp=b9cd08817a),"{""phase"": ""observe"", ""cursor"": 1}"
